time,source,name,CORES,SUSTAINED FREQUENCY (GHz),USAGE POWER (W),product_id
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,M128-30,128,3.0,183,AC-212825002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,M128-28,128,2.8,154,AC-212823002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,M128-26,128,2.6,133,AC-212819002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,M96-30,96,3.0,157,AC-209622002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,M96-28,96,2.8,132,AC-209619002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q80-30,80,3.0,161,AC-108021002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q80-28,80,2.8,124,AC-108018502
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q80-26,80,2.6,113,AC-108015002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q64-30,64,3.0,124,AC-106418002
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q64-26,64,2.6,87,AC-106412502
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q64-22,64,2.2,69,AC-106409502
2025-03-11 09:46:33,https://amperecomputing.com/briefs/ampere-altra-family-product-brief,Q32-17,32,1.7,40,AC-103206502
